Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Brighton,589448.0,2021,7,315,18,7,42,medium
Brighton,592152.0,2021,8,306,15,2,32,medium
Brighton,591945.0,2021,9,327,22,1,31,medium
Charlestown,636110.0,2015,6,77,8,1,3,medium
Charlestown,645596.0,2015,7,179,14,14,14,medium
Charlestown,655255.0,2015,8,144,13,9,9,medium
Charlestown,665707.0,2015,9,171,23,17,7,medium
Charlestown,669870.0,2015,10,135,14,9,7,medium
Charlestown,673625.0,2015,11,150,17,14,10,medium
Charlestown,679661.0,2015,12,135,11,7,7,medium
Charlestown,689968.0,2016,1,142,17,13,10,medium
Charlestown,692002.0,2016,2,121,9,7,1,medium
Charlestown,695230.0,2016,3,126,13,4,9,medium
Charlestown,692715.0,2016,4,121,12,3,2,medium
Charlestown,696207.0,2016,5,163,16,7,9,medium
Charlestown,697093.0,2016,6,180,18,9,16,medium
Charlestown,698989.0,2016,7,157,21,6,6,medium
Charlestown,702381.0,2016,8,168,15,8,3,medium
Charlestown,706939.0,2016,9,164,16,9,8,medium
Charlestown,712135.0,2016,10,131,8,6,6,medium
Charlestown,717686.0,2016,11,145,16,4,4,medium
Charlestown,720227.0,2016,12,134,5,4,4,medium
Charlestown,721405.0,2017,1,132,15,9,4,medium
Charlestown,725016.0,2017,2,120,13,2,7,medium
Charlestown,730912.0,2017,3,171,18,5,7,medium
Charlestown,740592.0,2017,4,158,29,0,6,medium
Charlestown,746278.0,2017,5,155,20,2,8,medium
Charlestown,749520.0,2017,6,197,15,11,5,medium
Charlestown,750560.0,2017,7,181,25,8,9,medium
Charlestown,753319.0,2017,8,172,15,8,15,medium
Charlestown,755736.0,2017,9,149,22,10,11,medium
Charlestown,758456.0,2017,10,152,24,4,7,medium
Charlestown,761089.0,2017,11,165,16,12,10,medium
Charlestown,764186.0,2017,12,136,12,1,9,medium
Charlestown,767625.0,2018,1,152,20,6,8,medium
Charlestown,771444.0,2018,2,155,25,2,11,medium
Charlestown,776412.0,2018,3,136,15,2,8,medium
Charlestown,780233.0,2018,4,130,9,12,2,medium
Charlestown,783957.0,2018,5,181,31,14,6,medium
Charlestown,788440.0,2018,6,167,24,17,8,medium
